AirTemperature,water_temperature
23.01,25.91256971764704
24.87,26.57094653435083
27.66,27.55851175940652
29.15,28.08592114483053
30.48,28.55669596537679
28.91,28.00096929751391
28.26,27.77089137769807
28.31,27.788589679222362
28.06,27.700098171600885
27.91,27.647003267027998
25.34,26.737310568679213
24.19,26.330249633620415
23.65,26.139107977158023
26.29,27.073578297640825
28.1,27.714256812820324
29.86,28.337237026475524
30.39,28.52483902263306
28.94,28.01158827842849
28.15,27.73195511434462
28.34,27.79920866013694
28.14,27.728415454039762
27.31,27.434623648736455
24.44,26.41874114124189
23.01,25.91256971764704
23.15,25.962124961915066
25.21,26.691294984716045
27.49,27.498337534223918
29.12,28.07530216391595
30.23,28.468204457755313
29.31,28.142555709708276
28.23,27.760272396783492
28.26,27.77089137769807
28.33,27.79566899983208
27.55,27.519575496053072
24.94,26.59572415648485
22.33,25.671872816916622
21.96,25.540905385636837
24.76,26.532010270997382
27.9,27.643463606723138
28.97,28.022207259343062
29.44,28.188571293671444
29.45,28.192110953976304
28.23,27.760272396783492
28.06,27.700098171600885
28.03,27.68947919068631
27.36,27.45232195026075
25.55,26.81164343508125
22.87,25.863014473379014
22.12,25.59753995051458
24.84,26.560327553436256
27.9,27.643463606723138
29.62,28.252285179158907
29.5,28.209809255500595
29.35,28.15671435092771
28.56,27.877081186843842
27.98,27.671780889162015
27.69,27.5691307403211
27.35,27.448782289955894
25.18,26.680676003801466
22.68,25.79576092758669
22.48,25.72496772148951
24.35,26.38688419849816
27.42,27.473559912089904
29.44,28.188571293671444
30.08,28.415109553182425
29.12,28.07530216391595
28.57,27.880620847148702
28.23,27.760272396783492
28.53,27.866462205929267
27.69,27.5691307403211
25.5,26.793945133556957
22.98,25.901950736732463
24.37,26.393963519107878
24.98,26.609882797704284
28.23,27.760272396783492
29.36,28.16025401123257
30.36,28.51422004171848
29.62,28.252285179158907
28.55,27.873541526538983
28.47,27.84522424410011
28.06,27.700098171600885
27.85,27.625765305198847
25.65,26.84704003812984
23.08,25.937347339781056
22.31,25.664793496306903
24.29,26.365646236669008
27.84,27.622225644893987
29.26,28.124857408183978
29.86,28.337237026475524
29.01,28.0363659005625
28.31,27.788589679222362
28.26,27.77089137769807
28.15,27.73195511434462
27.0,27.32489417928582
24.55,26.457677404595344
23.87,26.216980503864924
